TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d988,KIST,5.0E9,NA,262018250,9,-1,-1,59339,-1.0,97.0,0.05415275,0.044444446,0.2411702,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d988,KIST,5.0E9,IDA,567020528,9,-1,-1,58994,-1.0,94.0,0.05700188,0.06666667,0.23558015,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d988,KIST,5.0E9,VITRIVR,2942009141,9,-1,-1,55491,-1.0,59.0,0.05974656,0.044444446,0.44444445,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d988,KIST,5.0E9,CLUSTER,285477499,9,-1,-1,33420,-1.0,97.0,0.09456253,0.06666667,21.11111,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d988,KIST,5.0E9,LNA,383073020,9,-1,-1,59187,-1.0,96.0,0.051310983,0.037184786,0.21273084,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d983,KIST,5.0E9,STA,95014534,4,-1,-1,12143,-1.0,84.0,0.12325574,0.125,0.375,0.083333336
3584f2e1-e562-4e4c-bf25-476d5f68d983,KIST,5.0E9,NA,28039072,4,-1,-1,12688,-1.0,89.0,0.049851414,0.075193614,0.16666667,0.037037037
3584f2e1-e562-4e4c-bf25-476d5f68d983,KIST,5.0E9,IDA,23119946,4,-1,-1,12730,-1.0,0.0,0.11721285,0.1875,0.375276,0.083333336
3584f2e1-e562-4e4c-bf25-476d5f68d983,KIST,5.0E9,VITRIVR,653627698,4,-1,-1,12055,-1.0,92.0,0.116368264,0.083333336,0.5,0.083333336
3584f2e1-e562-4e4c-bf25-476d5f68d983,KIST,5.0E9,CLUSTER,15286597,4,-1,-1,7238,-1.0,92.0,0.19281723,0.1875,6.625,0.083333336
3584f2e1-e562-4e4c-bf25-476d5f68d983,KIST,5.0E9,LNA,32246367,4,-1,-1,12558,-1.0,89.0,0.047697224,0.055850178,0.16933964,0.037037037
3584f2e1-e562-4e4c-bf25-476d5f68d986,KIST,5.0E9,STA,311242720,7,-1,-1,43992,-1.0,97.0,0.08188378,0.071428575,0.34523812,0.002356964
3584f2e1-e562-4e4c-bf25-476d5f68d986,KIST,5.0E9,NA,155614909,7,-1,-1,47990,-1.0,99.0,0.055919133,0.055555556,0.2411702,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d986,KIST,5.0E9,IDA,235425622,7,-1,-1,47763,-1.0,98.0,0.07623493,0.047619063,0.29025507,0.002356964
3584f2e1-e562-4e4c-bf25-476d5f68d986,KIST,5.0E9,VITRIVR,1431925542,7,-1,-1,43996,-1.0,82.0,0.08366508,0.071428575,0.5714286,0.002356964
3584f2e1-e562-4e4c-bf25-476d5f68d986,KIST,5.0E9,CLUSTER,99982560,7,-1,-1,26515,-1.0,99.0,0.12819692,0.071428575,27.142857,0.002356964
3584f2e1-e562-4e4c-bf25-476d5f68d986,KIST,5.0E9,LNA,135267975,7,-1,-1,47835,-1.0,99.0,0.05281228,0.037037037,0.21273084,0.0018331943
3584f2e1-e562-4e4c-bf25-476d5f68d970,KIST,5.0E9,STA,167258091,1,-1,-1,10000,-1.0,83.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d970,KIST,5.0E9,NA,170362149,1,-1,-1,10000,-1.0,83.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d970,KIST,5.0E9,IDA,433164916,1,-1,-1,10000,-1.0,81.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d970,KIST,5.0E9,VITRIVR,1230230792,1,-1,-1,10000,-1.0,88.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d970,KIST,5.0E9,CLUSTER,326069850,1,-1,-1,5967,-1.0,84.0,0.26040846,0.14285715,6.999998,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d970,KIST,5.0E9,LNA,122579440,1,-1,-1,10000,-1.0,84.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d973,KIST,5.0E9,STA,141993053,4,-1,-1,10000,-1.0,83.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d973,KIST,5.0E9,NA,107649764,4,-1,-1,10000,-1.0,84.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d973,KIST,5.0E9,IDA,129862621,4,-1,-1,10000,-1.0,84.0,0.03884643,0.053571433,0.14285715,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d973,KIST,5.0E9,VITRIVR,93617660,4,-1,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0
