TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,STA,95202497,1,4,4,10000,1.0,100.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,SQA,66763936,1,4,4,10000,1.0,99.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,NA,59219969,1,4,4,10000,1.0,99.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,IDA,66088697,1,4,4,10000,1.0,99.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,ASTAR,2587016521,1,4,4,10000,1.0,75.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,VITRIVR,298048173,1,4,4,10000,1.0,92.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,CLUSTER,51590588,1,54,54,3871,10.0,100.0,1.7179885,0.6666667,36.66666,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d140,KIST,5.0E9,LNA,56927197,1,4,4,10000,1.0,99.0,0.66503334,1.0,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,STA,292107757,1,4,4,10000,0.4,88.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,SQA,241794073,1,4,4,10000,0.4,87.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,NA,134288411,1,4,4,10000,0.4,88.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,IDA,136075265,1,4,4,10000,0.4,88.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,ASTAR,12928254083,1,4,4,10000,0.4,0.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,VITRIVR,667649987,1,4,4,10000,0.4,86.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,CLUSTER,140158125,1,940,940,5681,0.4,93.0,0.35328287,0.2,11.799994,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d150,KIST,5.0E9,LNA,134019157,1,4,4,10000,0.4,88.0,0.2007,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,STA,82455122,1,-1,-1,10000,-1.0,98.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,SQA,90004722,1,-1,-1,10000,-1.0,96.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,NA,95386321,1,-1,-1,10000,-1.0,96.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,IDA,83105965,1,-1,-1,10000,-1.0,96.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,ASTAR,3127045293,1,-1,-1,10000,-1.0,67.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,VITRIVR,409897868,1,-1,-1,10000,-1.0,86.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,CLUSTER,62360422,1,-1,-1,4617,-1.0,98.0,0.37087575,0.16666667,20.166662,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d160,KIST,5.0E9,LNA,173543406,1,-1,-1,10000,-1.0,96.0,0.17123334,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d170,KIST,5.0E9,STA,116057162,1,225,225,10000,0.2857143,98.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d170,KIST,5.0E9,SQA,78261733,1,225,225,10000,0.2857143,99.0,0.15538572,0.21428573,0.5714286,0.14285715
3584f2e1-e562-4e4c-bf25-476d5f68d170,KIST,5.0E9,NA,62848387,1,225,225,10000,0.2857143,99.0,0.15538572,0.21428573,0.5714286,0.14285715
